"codMinInterno","codIstat","anno","QliRifiuti","KmStrade","Studenti","NrPuntiLuce","NrPermessi","NrIscritti","KmPolizia","NrCertificati","ImpTot","ImpPers","ImpNoPers","vecchiaia","laurea","superficie","altitudine","litoraneità","gradourb","ruralità","PopTot"
1010810010,1001,1994,1015.54492378235,64.1702651977539,223,600,31,2273,9000,1082,1210505.25,346662.91,863842.34,0.237490370869637,0.115473441779613,13.28,315,0,2,0,2598
1010810040,1004,1994,699.999958276749,41.379077911377,151,294,20,1490,3500,1300,777515.53,238172.88,539342.65,0.208654418587685,0.120331950485706,11.73,230,0,2,0,1687
1010810050,1005,1994,1519.70442914963,10.9894733428955,47,137,17,548.106732348112,2419,180,302786.8,95407.15,207379.65,0.247974067926407,0.103727713227272,6.95,610,0,1,1,617
1010810090,1009,1994,2499.99997651577,31.1569042205811,163,355,30,1441.25323149236,6859,1500,911701.36,263189.53,648511.83,0.156486332416534,0.127981379628181,7.48,306,0,2,0,1719
1010810100,1010,1994,200,8.23820781707764,33,83,8,416,1813,146,248091.43,119260.23,128831.2,0.276457875967026,0.0971922278404236,9.32,836,0,1,1,463
1010810150,1015,1994,261,13.6750764846802,49,150,15,672,3013,273,357154.22,174986.206054688,182168.013945312,0.304407715797424,0.0909090936183929,7.16,365,0,2,1,726
1010810160,1016,1994,9310.95421844343,75.8036880493164,272,695,43,2706,8822,2276,1484389.06,512071.66,972317.4,0.210009813308716,0.117762513458729,12.9,440,0,2,0,3057
1010810270,1027,1994,4899.99991321564,50.6178665161133,180,290,48,1747,8866,1535,886483.29,334445.09,552038.2,0.204228982329369,0.117586381733418,14.22,255,0,2,0,1939
1010810300,1030,1994,1295.50000995398,89.4265594482422,316,850,39,3188,14722,1211,1706683.47,665469.456481934,1041214.01351807,0.192866936326027,0.115775033831596,13.34,253,0,2,0,3645
1010810320,1032,1994,806.852517985611,32,194,297,40,1983,8700,611,978712.16,379901.05,598811.11,0.206194683909416,0.115486726164818,5.01,394,0,2,0,2260
1010810350,1035,1994,1468.5001707077,100.960174560547,328,727,53,3458,20151,1906,1687012.66,717319.477233887,969693.182766113,0.190633744001389,0.112496815621853,22.64,400,0,2,0,3929
1010810370,1037,1994,231.800007104874,8.17014026641846,37,111,6,436.090909090909,1785,140,223808.66,112801.025390625,111007.634609375,0.258547008037567,0.10683760792017,8.94,360,0,1,1,468
1010810400,1040,1994,437,33.7078590393066,123,290,26,1170,5902,1200,578541.22,264436.78,314104.44,0.196240603923798,0.12481202930212,12.35,455,0,2,0,1330
1010810430,1043,1994,489,29.4273242950439,123,260,34,1108,5217,729,729107.51,238460.55,490646.96,0.170560747385025,0.129283487796783,5.05,317,0,2,0,1284
1010810500,1050,1994,502.359012715034,25,112,311,17,1186,4798,560,641128.56,188511.93,452616.63,0.23179791867733,0.112184248864651,9.18,285,0,2,0,1346
1010810520,1052,1994,98.0000066757202,7.04350566864014,22,74,6,264.869888475836,1244,107,249024.15,49075.28,199948.87,0.368421047925949,0.101754382252693,11.72,659,0,1,1,285
1010810550,1056,1994,399.99999165535,25.8557186126709,69,181,12,889.38783269962,4607,384,444565.07,162898.77,281666.3,0.223684206604958,0.09514170140028,11.48,257,0,1,1,988
1010810560,1057,1994,1653.85220718384,18.9509239196777,63,210,20,714.555410691004,3359,500,421854.39,147644.7,274209.69,0.271464645862579,0.107323229312897,10.46,349,0,1,1,792
1010810600,1061,1994,3900.00014710426,24.2736835479736,121,190,16,1318,5328,631,645354.21,271847.467956543,373506.742043457,0.198119536042213,0.107454665005207,2.19,239,0,2,0,1489
1010810610,1062,1994,840.000095844269,66.7032165527344,272,435,45,2307.29954093344,8000,1410,965476.92,488741.21673584,476735.70326416,0.133731782436371,0.137093767523766,14.22,405,0,2,0,2677
1010810640,1065,1994,512.099976539612,45.8853530883789,187,273,37,1523.3874642849,8035,759,593794.77,317672.662353516,276122.107646484,0.179885059595108,0.144827589392662,17.29,244,0,2,1,1740
1010810660,1067,1994,175,15.2339992523193,27,126,10,426,1892,231,257867.96,109667.663574219,148200.296425781,0.314285725355148,0.0791208818554878,28.6,828,0,1,1,455
1010810740,1076,1994,600.597470164299,34,152,265,26,1422,10000,1252,718589.87,326284.56,392305.31,0.186658501625061,0.125459000468254,18.63,550,0,1,1,1634
1010810790,1081,1994,541.500038146973,26.4373550415039,146,250,30,1335,5104,784,665652,222348.12,443303.88,0.182864457368851,0.12595908343792,6.03,378,0,2,0,1564
1010810820,1084,1994,811.39175257732,2.97504806518555,39,38,4,433.471482889734,1054,127,165470.21,114970.275878906,50499.9341210937,0.188679248094559,0.109014675021172,4.94,646,0,1,1,477
1010810830,1085,1994,119,6.14398670196533,36,75,6,310.180473372781,1353,81,154848.76,85082.8247070312,69765.9352929688,0.20396600663662,0.1359773427248,6.19,495,0,1,1,353
